Author,We,Baby,Doctor,Partner,Nurse,Midwife,Family,Anesthesiologist,Doula,Induction
66,6,2,2,4,2,0,0,0,0,0
47,2,0,0,3,2,0,0,0,0,4
62,9,7,4,4,4,0,1,1,0,0
47,1,3,0,0,2,1,0,0,0,0
89,5,4,4,4,5,0,2,1,0,2
23,2,3,4,1,1,2,0,0,0,1
62,10,4,5,6,5,2,1,0,0,0
38,14,6,0,6,2,4,0,1,0,2
24,4,11,1,0,0,0,1,0,0,0
44,22,8,3,6,1,0,1,0,0,0
38,1,6,2,1,1,0,0,0,0,7
38,1,6,2,1,1,0,0,0,0,7
80,19,15,3,14,1,11,1,2,0,7
57,7,8,1,7,0,0,0,0,0,1
49,1,2,1,1,0,1,0,0,0,1
49,7,3,1,4,0,2,0,0,0,1
50,3,2,1,1,0,1,0,0,0,0
192,13,8,4,15,2,0,10,0,0,0
29,5,7,4,2,1,0,0,0,0,3
47,8,13,1,1,0,8,0,0,0,6
92,6,6,3,5,2,0,0,0,0,2
40,3,2,1,0,3,0,1,0,0,4
92,16,14,1,10,0,15,2,0,0,0
111,2,17,13,3,1,0,0,2,0,9
57,3,2,0,2,3,0,3,0,0,0
79,3,10,5,1,1,0,0,1,0,3
99,10,19,5,0,0,0,2,1,0,0
24,7,5,0,8,0,0,1,0,0,1
110,0,5,4,1,0,0,1,0,0,0
72,1,5,11,8,6,0,0,0,0,2
38,6,3,2,2,0,0,0,2,0,13
93,0,4,2,0,9,0,1,0,0,4
65,11,1,0,4,0,1,0,0,0,0
133,9,8,0,5,1,13,0,1,0,0
58,9,8,7,0,4,0,0,2,0,6
70,7,2,3,6,4,0,0,0,0,0
42,2,3,0,1,0,3,0,0,0,0
40,5,8,2,2,0,0,0,0,0,0
