,Author,We,Baby,Doctor,Partner,Nurse,Midwife,Family,Anesthesiologist,Doula
523,4,0,0,0,1,0,0,0,0,0
524,3,1,1,0,0,0,0,0,0,0
525,5,0,2,0,1,0,0,0,0,0
526,4,0,0,0,0,0,0,0,0,0
527,2,0,1,0,0,0,0,0,0,0
528,2,0,0,0,0,0,0,0,0,0
529,1,0,0,0,0,0,0,0,0,0
530,5,0,0,0,0,0,0,6,0,0
531,6,5,0,0,0,0,0,5,0,0
532,3,8,0,0,0,0,0,4,0,0
533,3,1,1,1,0,3,0,6,0,0
534,2,2,1,0,0,0,0,2,0,0
535,3,2,0,0,0,2,0,7,1,0
536,0,2,1,3,0,1,0,4,0,0
537,10,0,0,0,0,4,0,5,0,0
538,3,5,0,0,0,1,0,3,0,0
539,0,0,0,0,0,0,0,0,0,0
540,2,0,1,0,0,0,0,0,0,0
541,4,2,0,0,0,0,0,0,0,0
542,4,0,0,0,0,0,0,0,0,0
543,5,0,1,0,0,0,0,0,0,0
544,3,0,1,1,0,0,0,0,0,0
545,0,3,1,0,0,1,0,0,0,0
546,1,0,1,0,0,1,0,0,0,0
547,1,4,1,0,0,0,0,0,0,0
548,1,2,0,0,0,0,0,0,0,0
549,1,0,0,0,0,0,0,0,0,0
550,4,1,1,1,0,0,0,0,0,0
551,2,1,1,0,0,0,0,0,0,0
552,2,1,0,1,0,0,0,0,0,0
553,4,0,0,0,0,0,0,0,0,0
554,3,0,0,0,0,0,0,0,0,0
555,2,0,0,0,0,1,0,0,0,0
556,1,0,0,0,1,0,0,0,0,0
557,3,0,0,0,0,0,0,0,0,0
558,1,1,0,1,0,0,0,0,0,0
559,0,1,0,0,0,0,0,0,0,0
560,5,1,1,1,0,0,1,1,0,0
561,1,4,0,0,1,0,0,0,0,0
562,2,3,0,0,0,0,0,0,0,0
563,0,4,0,0,0,0,0,0,0,0
564,7,0,0,0,1,0,1,0,0,0
565,0,4,0,0,0,0,2,0,0,0
566,1,3,0,0,0,0,1,0,0,0
567,2,1,2,0,0,0,0,0,0,0
568,2,0,0,0,0,0,0,0,0,0
569,0,2,0,0,0,0,0,0,0,0
570,1,3,0,0,1,0,0,0,0,0
571,2,2,0,0,0,0,0,0,0,0
572,4,0,0,0,1,0,0,0,0,0
573,1,2,1,0,1,0,0,0,0,0
574,2,0,1,0,0,0,0,0,0,0
575,1,2,0,0,1,0,0,0,0,0
576,1,1,0,0,0,1,0,0,0,0
577,2,0,0,0,0,0,0,0,0,0
578,2,0,0,0,0,0,0,0,0,0
579,1,0,0,0,0,0,0,0,0,0
580,5,1,0,0,0,0,0,0,0,0
581,7,0,0,0,1,1,0,0,0,0
582,6,1,0,0,0,1,0,0,0,0
583,2,2,0,3,2,0,0,0,0,0
584,3,0,0,1,0,0,0,0,0,0
585,9,0,1,1,0,0,0,0,0,0
586,6,0,0,1,0,1,0,0,0,0
587,2,2,2,0,0,0,0,1,0,0
588,5,1,0,1,1,0,0,0,0,0
589,5,1,0,0,0,0,0,3,0,0
590,8,2,0,0,0,0,0,0,0,0
591,6,2,0,0,0,0,1,0,0,0
592,11,2,0,0,0,0,1,0,0,0
593,7,5,0,0,0,0,0,0,0,0
594,10,2,0,0,0,0,0,0,0,0
595,16,0,0,0,0,0,0,0,0,0
596,12,0,1,0,0,0,0,0,0,0
597,8,0,1,0,0,0,0,0,0,0
598,13,3,0,0,0,0,0,0,0,0
599,6,0,1,0,1,0,0,0,0,0
600,2,0,0,0,0,0,0,0,0,0
601,2,0,0,0,1,0,0,0,0,0
602,3,5,0,0,0,0,1,0,0,0
603,8,1,0,0,0,0,2,0,0,0
604,2,0,0,0,0,0,0,0,0,0
605,5,1,0,0,0,0,0,0,0,0
606,6,0,0,0,0,0,1,0,0,0
607,7,1,0,0,0,0,2,0,0,0
608,8,0,0,0,1,0,3,0,0,0
609,3,0,1,0,0,0,0,0,0,0
610,9,0,0,2,1,0,0,0,0,0
611,11,1,0,0,0,0,0,0,0,0
612,9,2,0,1,0,0,0,0,0,0
613,9,1,0,1,0,0,0,0,0,0
614,10,0,0,0,2,0,0,0,0,0
615,9,0,0,1,0,0,0,0,0,0
616,5,0,0,2,0,0,0,0,0,0
617,9,0,1,2,1,0,0,0,0,0
618,4,1,1,0,1,0,0,1,0,0
619,1,0,0,0,0,0,0,0,0,0
620,12,2,0,0,1,0,1,0,0,0
621,10,0,2,0,0,0,0,0,0,0
622,12,1,0,0,0,0,0,0,0,1
623,17,3,1,0,0,0,0,0,0,0
624,10,1,1,0,0,1,1,0,0,1
